                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.626,                 5.1143,                 1.9651,                0.36115,                0.01667,                0.05132,                0.01723,                 2.5601,                  7.355,                 2.5483,                      0,                      0,                      0
                      2,                 2.0611,                 5.6339,                 2.1451,                0.36115,                0.01667,                0.05132,                0.01723,                    nan,                    nan,                    nan,              7.973e-07,              7.973e-07,              7.973e-07
                      3,                    nan,                    nan,                    nan,                0.36115,                0.01667,                0.05132,                0.01723,                    nan,                    nan,                    nan,              8.092e-07,              8.092e-07,              8.092e-07
